msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　足に[0x000A]ぺったり　くっついてきた
msg_partner_342={0x0102,0x0001}は　驚いた　ように[0x000A]家の　中を　見回している！
msg_partner_343={0x0102,0x0001}は　観客席を[0x000A]不思議そうに　見回している
msg_partner_344=くんくん……[0x000A]{0x0102,0x0001}は　匂いを　嗅いでいる
msg_partner_345=なんだか[0x000A]不思議な　匂いが　するみたい？
msg_partner_346=モンスターボールの　マークが[0x000A]気になる　みたい
msg_partner_347={0x0102,0x0001}は[0x000A]ごくりと　息を　のんだ！
msg_partner_348={0x0102,0x0001}は[0x000A]まわりの　建物を　見回している
msg_partner_349={0x0102,0x0001}は[0x000A]桟橋の　上を　歩くのが{0xBE00}[0x000A]楽しい　みたい！
msg_partner_350={0x0102,0x0001}は　たくさんの[0x000A]トレーナーがいて　楽しい　みたい
msg_partner_351={0x0102,0x0001}は[0x000A]ゆったりと　くつろいで　いる！
msg_partner_352={0x0102,0x0001}は[0x000A]なんだか　落ち着く　みたい
msg_partner_353={0x0102,0x0001}は[0x000A]ワープ装置を　気にしている！
msg_partner_354={0x0102,0x0001}は[0x000A]高いところが　楽しい　みたい！
msg_partner_355={0x0102,0x0001}は　体が[0x000A]バチバチ　する　みたい
msg_partner_356={0x0102,0x0001}は[0x000A]闘志を　燃やしている！
msg_partner_357={0x0102,0x0001}は　じっと[0x000A]水を　見つめている……
msg_partner_358={0x0102,0x0001}は[0x000A]海を　見て　大はしゃぎ　だ！
msg_partner_359={0x0102,0x0001}は[0x000A]水を　ぱしゃぱしゃ　している
msg_partner_360={0x0102,0x0001}は[0x000A]草の　かおりが　落ち着く　みたい
msg_partner_361=暖かい　お日様が[0x000A]とっても　嬉しい　みたい！
msg_partner_362={0x0102,0x0001}は　気合いを　入れて[0x000A]バチバチッと　電気を　走らせた！
msg_partner_363={0x0102,0x0001}から[0x000A]ひんやりした　冷気を　感じる
msg_partner_364=……なんだか　空気が[0x000A]冷たく　なってきた
msg_partner_365={0x0102,0x0001}は　激しく[0x000A]体を　動かして　いる！
msg_partner_366={0x0102,0x0001}から　ちょっと[0x000A]毒々しい　匂いが　する
msg_partner_367={0x0102,0x0001}は[0x000A]ちょっぴり　不安そう……
msg_partner_368={0x0102,0x0001}は[0x000A]さらさらの　地面が{0xBE00}[0x000A]嬉しい　みたい！
msg_partner_369={0x0102,0x0001}は　ちょっぴり[0x000A]嫌そうな　顔を　している……
msg_partner_370={0x0102,0x0001}は　イワヤマトンネルを[0x000A]見て　楽しそう　だ！
msg_partner_371={0x0102,0x0001}は[0x000A]余裕の　表情　だ！
msg_partner_372={0x0102,0x0001}は　不思議な[0x000A]力を　感じとっている！
msg_partner_373={0x0102,0x0001}は　なんだか[0x000A]居心地が　良さそうに　している
msg_partner_374={0x0102,0x0001}は[0x000A]ふと　後ろを　振り向いた！{0xBE00}[0x000A]……なにか　いたのかな？
msg_partner_375={0x0102,0x0001}は[0x000A]にやにや　している
msg_partner_376={0x0102,0x0001}は[0x000A]冷気が　気になる　みたい……
msg_partner_377={0x0102,0x0001}は　上目遣いで[0x000A]こっちを　見つめて　きた！
msg_partner_378={0x0102,0x0001}は　楽しそうに[0x000A]後ろを　ついてきている！
msg_partner_379={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]後ろを　歩けて　嬉しい　みたい
msg_partner_380={0x0102,0x0001}は[0x000A]話しかけられて　嬉しい　みたい！
msg_partner_381={0x0102,0x0001}は[0x000A]早く　先に　進みたくて{0xBE00}[0x000A]いてもたっても　いられない　みたい！
msg_partner_382={0x0100,0x0000}のことを[0x000A]追い越すのが　楽しい　ようだ！
msg_partner_383={0x0102,0x0001}は[0x000A]いてもたっても　いられない　みたい！
msg_partner_384={0x0102,0x0001}は　{0x0100,0x0000}に[0x000A]ついてきて　ほしい　みたい！
msg_partner_385={0x0102,0x0001}は[0x000A]すごく　活発　だ！
msg_partner_386={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]泳げて　嬉しい　みたい
msg_partner_387={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]{0x0102,0x0002}のことを　気にしながら{0xBE00}[0x000A]泳いでいる！
msg_partner_388={0x0102,0x0001}は　水の　上が[0x000A]心地よくて　幸せそう！
msg_partner_389={0x0102,0x0001}は[0x000A]波に　身を　任せている……{0xBE00}[0x000A]ゆらゆらして　心地いい！
msg_partner_390={0x0102,0x0001}は　得意そうに[0x000A]{0x0100,0x0000}と　{0x0102,0x0002}を{0xBE00}[0x000A]運んでいる！
msg_partner_391=おっと　危ない！{0xBE01}[0x000A]{0x0102,0x0001}は[0x000A]バランスを　崩しそうに　なった！
msg_partner_392={0x0102,0x0001}は[0x000A]足元に　気をつけながら{0xBE00}[0x000A]{0x0100,0x0000}を　運んでいる！
msg_partner_393={0x0102,0x0001}は　{0x0100,0x0000}を[0x000A]運ぶのが　とても　楽しい　みたい！
msg_partner_394={0x0102,0x0001}は　まだまだ[0x000A]{0x0100,0x0000}を　運べる　みたい！
msg_partner_395={0x0102,0x0001}は　気持ち良さそうに[0x000A]空を　飛んでいる！
msg_partner_396={0x0102,0x0002}が　空の　高さに[0x000A]びっくりしていて　嬉しい　みたい！
msg_partner_397={0x0102,0x0001}は　下を　見回している
msg_partner_398={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]空を　飛ぶことが　できて{0xBE00}[0x000A]嬉しい　みたい！
msg_partner_399=強い　風が　吹いて[0x000A]{0x0102,0x0001}は　思わず　ぐらついた！
msg_partner_400=おや？　{0x0102,0x0001}は[0x000A]なにかを　持っている……
msg_partner_401={0x0102,0x0001}は[0x000A]花の　香りを　嗅いでいる！
msg_partner_402={0x0102,0x0001}は　木の　上を[0x000A]じっと　見ていた　ようだ
msg_partner_403={0x0102,0x0001}は　生垣が[0x000A]気になった　みたい！
msg_partner_404={0x0102,0x0001}は[0x000A]この　岩が　お気に入り　みたい！
msg_partner_405={0x0102,0x0001}は[0x000A]岩が　冷たくて　驚いた！
msg_partner_406={0x0102,0x0001}は　岩の　隙間から[0x000A]なにかを　取り出した！
msg_partner_407={0x0102,0x0001}は　水面を[0x000A]楽しそうに　眺めてる！
msg_partner_408={0x0102,0x0001}は[0x000A]柵の　向こう側を　見つめている……
msg_partner_409={0x0102,0x0001}は　イワークに[0x000A]ちょっと　びっくり　してる！
msg_partner_410={0x0102,0x0001}は[0x000A]窓の　向こうを　眺めている
msg_partner_411={0x0102,0x0001}は[0x000A]嬉しそうに　している！
msg_partner_412={0x0102,0x0001}は[0x000A]遠くを　見つめている
msg_partner_413={0x0102,0x0001}は[0x000A]大きな　テレビを　気にしている！
msg_partner_414={0x0102,0x0001}は[0x000A]お母さんを　気にしている！
msg_partner_415=地面の　動く　影を　[0x000A]見つめている
msg_partner_416={0x0102,0x0001}は　なにかを[0x000A]探して　いる　みたい
msg_partner_417={0x0102,0x0001}は[0x000A]元気に　返事を　した！
msg_partner_418={0x0102,0x0001}は[0x000A]不思議そうな　顔を　している
msg_partner_419={0x0102,0x0001}は　ポケモンの[0x000A]気配に　ソワソワ　している！
msg_partner_420={0x0102,0x0001}は[0x000A]あたりを　見回している
msg_partner_421={0x0102,0x0001}は[0x000A]楽しそうに　ついて　きている！
msg_partner_422={0x0102,0x0001}は[0x000A]なんだか　心地よさそう！
msg_partner_423={0x0102,0x0001}は　黒板に[0x000A]書いてあることが　気になる　みたい
msg_partner_424={0x0102,0x0001}は[0x000A]なんだか　やる気　いっぱい！
msg_partner_425={0x0102,0x0001}は[0x000A]元気に　挨拶した！
msg_partner_426={0x0102,0x0001}は[0x000A]ちょっぴり　恥ずかしそう
msg_partner_427={0x0102,0x0001}は[0x000A]少し　ドキドキしている
msg_partner_428={0x0102,0x0001}は[0x000A]うとうと　している
msg_partner_429={0x0102,0x0001}は　地面に　うつる[0x000A]雲の　影を　見つめている
msg_partner_430={0x0102,0x0001}は[0x000A]なんだか　わくわく　してる！
msg_partner_431=はらはら　舞う　葉っぱを[0x000A]とても　楽しそうに　見ている！
msg_partner_432=おや？　{0x0102,0x0001}は　なにかを[0x000A]拾った　みたい！
msg_partner_433={0x0102,0x0001}は[0x000A]少し　ホッ　としている
msg_partner_434=石畳の　上を　歩くのが[0x000A]楽しい　みたい！
msg_partner_435={0x0102,0x0001}は[0x000A]ニドラン♂のことが　気になる　みたい
msg_partner_436={0x0102,0x0001}は[0x000A]なんだか　緊張　してる！
msg_partner_437={0x0102,0x0001}は[0x000A]ぼーっと　している……{0xBE00}[0x000A]声を　かけて　みますか？
msg_partner_438=ちょっと　びっくり　したみたい！
msg_partner_439={0x0102,0x0001}は　ごつごつした[0x000A]地面が　楽しい　みたい
msg_partner_440={0x0102,0x0001}は[0x000A]突然　踊りだした！
msg_partner_441=危ない！[0x000A]{0x0102,0x0001}は　転びそうに　なった！
msg_partner_442={0x0102,0x0001}は[0x000A]ちょっぴり　心配そう……
msg_partner_443=なんだか　ソワソワ　している！
msg_partner_444={0x0102,0x0001}は[0x000A]飛び込み台を　気にしている
msg_partner_445=おっと！{0xBE00}[0x000A]{0x0102,0x0001}は[0x000A]足元が　滑った　ようだ！
msg_partner_446=ちょっぴり　安心　したみたい！
msg_partner_447=あ！[0x000A]{0x0102,0x0001}は{0xBE00}[0x000A]転びそうに　なった……
msg_partner_448={0x0102,0x0001}は[0x000A]暗いところが　落ち着く　みたい
msg_partner_449={0x0102,0x0001}は　ご満悦　だ！
msg_partner_450={0x0102,0x0001}は　{0x0102,0x0002}のことを[0x000A]じーっと　見つめている！
msg_partner_451={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]ケサギリに　興味津々！
msg_partner_452={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]力強さに　驚いた！
msg_partner_453=まわりが　明るく　見えて[0x000A]びっくり　してる！
msg_partner_454={0x0102,0x0001}は[0x000A]進化に　びっくり　してる！
msg_partner_455={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]頭を　じーっと　見つめている……
msg_partner_456={0x0102,0x0001}は[0x000A]あたりを　警戒　している！
msg_partner_457={0x0102,0x0001}は　花壇に[0x000A]落ちてた　なにかを　見つけた！
msg_partner_458={0x0102,0x0001}は　茂みの[0x000A]中から　なにかを　見つけた！
msg_partner_459={0x0102,0x0001}は[0x000A]ベンチを　見つめている！{0xBE00}[0x000A]{0x0100,0x0000}と{0xBE00}[0x000A]くつろぎたいの　かな？
msg_partner_460=おや？[0x000A]{0x0102,0x0001}は　ベンチの　下に{0xBE00}[0x000A]なにかを　見つけた　みたい！
msg_partner_461=なにも　見つからなかった　みたい
msg_partner_462=わ！[0x000A]上から　水滴が　落ちてきて{0xBE00}[0x000A]びっくりした　みたい！
msg_partner_463={0x0102,0x0001}は[0x000A]噴水を　見て　大はしゃぎ！
msg_partner_464={0x0102,0x0001}は　マルマインの[0x000A]まんまる　ボディに　うっとり……
msg_partner_465=わ！　水しぶきが　かかった！[0x000A]{0x0102,0x0001}は　嬉しそう！
msg_partner_466={0x0102,0x0001}は[0x000A]噴水が　気になる　みたい……
msg_partner_467=わ！　{0x0102,0x0001}は[0x000A]柵の　向こうに　落ちていた{0xBE00}[0x000A]なにかを　引き寄せた！
msg_partner_468={0x0102,0x0001}は　水の中に[0x000A]落ちていた　なにかを　拾いあげた！
msg_partner_469={0x0102,0x0001}は　嬉しそうに[0x000A]地面を　掘っている！
msg_partner_470={0x0102,0x0001}は[0x000A]静かに　している
msg_partner_471={0x0102,0x0001}は[0x000A]ゲームに　興味津々！
msg_partner_472={0x0102,0x0001}は[0x000A]砂鉄を　つけて　遊んでいる！
msg_partner_473=おや？　{0x0102,0x0001}は[0x000A]砂の　中から　なにかを{0xBE00}[0x000A]見つけた　みたい！
msg_partner_474=あ！　{0x0102,0x0001}は[0x000A]つまずいて　転びそうに　なった！
msg_partner_475={0x0102,0x0001}は[0x000A]神秘的な　景色に　見とれている
msg_partner_476={0x0102,0x0001}から[0x000A]熱い　視線を　感じる……
msg_partner_477={0x0102,0x0001}は[0x000A]ちょっぴり　元気が　出た　みたい！
msg_partner_478={0x0102,0x0001}は[0x000A]しょんぼり　している……
msg_partner_479={0x0102,0x0001}から[0x000A]熱気を　感じる！
msg_partner_480={0x0102,0x0001}は[0x000A]とっても　いきいき　してる！
msg_partner_481={0x0102,0x0001}は[0x000A]にこにこ　している！{0xBE00}[0x000A]なんだか　落ち着く　みたい
msg_partner_482={0x0102,0x0001}は　{0x0102,0x0002}のことが[0x000A]気になる　みたい！
msg_partner_483={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]肩を　じっと　見ている……
msg_partner_484={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]頭を　じっと　見ている……
msg_partner_485={0x0102,0x0001}は[0x000A]じっと　空を　見つめている
msg_partner_486={0x0102,0x0001}は[0x000A]トキワの森が　お気に入り　みたい！
msg_partner_487={0x0102,0x0001}は[0x000A]優雅に　羽ばたいている……{0xBE00}[0x000A]風が　かかって　気持ちいい！
msg_partner_488={0x0102,0x0001}は[0x000A]ぬいぐるみに　興味津々！
msg_partner_489={0x0102,0x0001}は[0x000A]嬉しそうに　にこにこ　してる！
msg_partner_490={0x0102,0x0001}は　楽しそうに[0x000A]羽を　ぱたぱた　させている
msg_partner_491={0x0102,0x0001}の[0x000A]体が　とても　熱い！{0xBE00}[0x000A]どうやら　興奮　してるみたい
msg_partner_492={0x0102,0x0001}は[0x000A]こっちを　じっと　見ている……{0xBE00}[0x000A]もしかして　心を　読まれてる？
msg_partner_493={0x0102,0x0001}は　気持ち良さそうに[0x000A]ふよふよ　浮いてる！
msg_partner_494={0x0102,0x0001}は[0x000A]ぼんやり　している
msg_partner_495={0x0102,0x0001}は[0x000A]嬉しそうに　クキを　投げた！
msg_partner_496={0x0102,0x0001}は[0x000A]カマを　きらりと　光らせた！
msg_partner_497={0x0102,0x0001}は[0x000A]ゆっくり　呼吸　している……{0xBE00}[0x000A]温かい　お腹が　気持ちいい！
msg_partner_498={0x0102,0x0001}から[0x000A]凍てつく　空気が　伝わってくる
msg_partner_499=わ！　{0x0102,0x0001}の　まわりが[0x000A]バチバチっと　した！
msg_partner_500={0x0102,0x0001}から[0x000A]とてつもない　熱気が　伝わる！
msg_partner_501={0x0102,0x0001}は[0x000A]ジジッと　うなっている……{0xBE00}[0x000A]ゲームに　反応　してる？
msg_partner_502={0x0102,0x0001}は　最新の[0x000A]ゲーム機に　興味津々！
msg_partner_503={0x0102,0x0001}は　絶好調！[0x000A]ヒゲが　つやつや　している
msg_partner_504={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]尻尾を　見つめている
msg_partner_505={0x0102,0x0001}は　{0x0102,0x0002}と[0x000A]目と　目を　合わせて　頷いた
msg_partner_506={0x0102,0x0001}は　{0x0102,0x0002}に[0x000A]向かって　鳴いた！{0xBE00}[0x000A]なにか　話して　いるのかな？
msg_partner_507={0x0102,0x0001}は　岩壁を[0x000A]砕いて　なにかを　取り出した！
msg_partner_508={0x0102,0x0001}は[0x000A]岩壁を　じっと　見つめてる
msg_partner_509={0x0102,0x0001}は　砂の　中から[0x000A]なにかを　掘り出した！
msg_partner_510={0x0102,0x0001}は　足元の[0x000A]砂を　ふみふみ　してる
msg_partner_511={0x0102,0x0001}は　ヤドンの　尻尾を[0x000A]じっと　見つめている……
msg_partner_512={0x0102,0x0001}は[0x000A]匂いを　嗅いでいる！
msg_partner_513={0x0102,0x0001}は　パントマイムの[0x000A]練習を　してる！
msg_partner_514={0x0102,0x0001}は[0x000A]揺れる　炎を　見つめている
msg_partner_515=ディグダの　グッズを[0x000A]見て　にやにやしてる
msg_partner_516={0x0102,0x0001}は　ポスターを[0x000A]見て　嬉しそうに　してる！
msg_partner_517={0x0102,0x0001}は[0x000A]日向ぼっこ　してる……{0xBE00}[0x000A]なんだか　気持ち良さそう
msg_partner_518={0x0102,0x0001}は[0x000A]月の石に　惹かれたみたい
msg_partner_519={0x0102,0x0001}は[0x000A]なんだか　不思議そうに　してる
msg_partner_520={0x0102,0x0001}は[0x000A]お喋り　してたみたい
msg_partner_521=おや？　{0x0102,0x0001}は[0x000A]なにかを　持っている……
msg_partner_522={0x0102,0x0001}は　大きな[0x000A]機械を　静かに　見ている
msg_partner_523={0x0102,0x0001}は　大きな[0x000A]機械を　まっすぐ　見つめている
msg_partner_524={0x0102,0x0001}は[0x000A]ゴミ箱の　匂いを　嗅いでいる！{0xBE00}[0x000A]……　なんだか　嬉しそう
msg_partner_525={0x0102,0x0001}は　揺れる　花を[0x000A]楽しそうに　眺めてる！
msg_partner_526={0x0102,0x0001}は[0x000A]金属の　味見を　している……
msg_partner_527=クセに　なる　味　みたい！
msg_partner_528={0x0102,0x0001}は[0x000A]顔を　しかめた！
msg_partner_529={0x0102,0x0001}は[0x000A]複雑そうな　顔を　している
msg_partner_530={0x0102,0x0001}は[0x000A]飛び跳ねて　喜んでる！
msg_partner_531=……ちょっと　ピリピリ　したみたい
msg_partner_532={0x0102,0x0001}は[0x000A]バチバチ　電気に　大興奮！
msg_partner_533={0x0102,0x0001}は　パントマイムの[0x000A]練習を　してる！{0xBE00}[0x000A]……なんだか　凄く　はりきってる
msg_partner_534={0x0102,0x0001}は[0x000A]炎の　熱気が　嬉しい　みたい
msg_partner_535={0x0102,0x0001}は　机の　上を[0x000A]熱い　眼差しで　見つめている
msg_partner_536={0x0102,0x0001}は　なんだか[0x000A]得意げな　表情を　してる！
msg_partner_537=くんくん……[0x000A]{0x0102,0x0001}は　ソワソワ　している
msg_partner_538={0x0102,0x0001}は[0x000A]月の石を　まじまじと　見てる
msg_partner_539={0x0102,0x0001}は[0x000A]化石を　じっと　見つめている
msg_partner_540={0x0102,0x0001}は[0x000A]突然　笑いだした！
msg_partner_541={0x0102,0x0001}は[0x000A]ゴミ箱の　匂いを　嗅いでいる！{0xBE00}[0x000A]……　なんだか　ニヤニヤしてる
msg_partner_542={0x0102,0x0001}は[0x000A]楽しそうに　バチバチを　見ている
msg_partner_543={0x0102,0x0001}は[0x000A]ベンチの　匂いを　嗅いでいる
msg_partner_544={0x0102,0x0001}は　岩が[0x000A]ヒンヤリして　嬉しい　みたい！
msg_partner_545=おや？　{0x0102,0x0001}は[0x000A]冷たい　岩の　そばに{0xBE00}[0x000A]なにかを　見つけた　みたい！
msg_partner_546={0x0102,0x0001}は[0x000A]日差しが　暖かくて　幸せそう
msg_partner_547={0x0102,0x0001}は　きらきら　光る[0x000A]地面を　見つめている
msg_partner_548=おや？　{0x0102,0x0001}は[0x000A]地面から　なにかを　掘り出した
msg_partner_549=おや？　{0x0102,0x0001}は[0x000A]木の　上に　なにか　あるのを{0xBE00}[0x000A]見つけた　みたい！
msg_partner_550={0x0102,0x0001}は[0x000A]ボーっと　してる
msg_partner_551={0x0102,0x0001}は[0x000A]こちらの　様子を　伺っている
msg_partner_552={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]遊べて　嬉しそう！
msg_partner_553={0x0102,0x0001}は[0x000A]目を　キリッと　させた！
msg_partner_554={0x0102,0x0001}は[0x000A]しゃんと　背筋を　伸ばした！
msg_partner_555={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]お口を　見てる！
msg_partner_556={0x0102,0x0001}と　{0x0102,0x0002}は[0x000A]顔を　見合わせて　ニヤッとした！
msg_partner_557={0x0102,0x0001}は　{0x0102,0x0002}に[0x000A]向かって　呼びかけた！
msg_partner_558={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]揺れる　尻尾に　触りたい　みたい
msg_partner_559={0x0102,0x0001}は　涼しげな　顔で　[0x000A]{0x0100,0x0000}を　運んでいる！
msg_partner_560={0x0102,0x0001}は[0x000A]風を　感じて　気持ち良さそう
msg_partner_561=わ！　水が　跳ねた！[0x000A]{0x0102,0x0001}は　嬉しそう！
msg_partner_562={0x0102,0x0001}は　元気そう！[0x000A]毛並みが　とても　気持ち良い
msg_partner_563={0x0102,0x0001}は[0x000A]とっても　ふかふか　してる！
msg_partner_564={0x0102,0x0001}は　{0x0100,0x0000}を[0x000A]ふわふわ　運んでいる……
msg_partner_565={0x0102,0x0001}の[0x000A]背中が　あたたかい……
msg_partner_566={0x0102,0x0001}は[0x000A]力強く　羽ばたいている！
msg_partner_567={0x0102,0x0001}は　大切そうに[0x000A]{0x0102,0x0002}を　抱えている
msg_partner_568={0x0102,0x0001}の[0x000A]筋肉が　動いている……
msg_partner_569={0x0102,0x0001}の[0x000A]たてがみが　いつもより　熱い！
msg_partner_570=わ！　３つの　頭が[0x000A]会話してる……？
msg_partner_571={0x0102,0x0001}の　手が[0x000A]緩やかに　動いている
msg_partner_572={0x0102,0x0001}は　キリッと　してる！[0x000A]なんだか　たくましい
msg_partner_573={0x0102,0x0001}は[0x000A]絶妙な　バランスを　とってる！
msg_partner_574={0x0102,0x0001}の[0x000A]鼓動が　伝わってくる！
msg_partner_575={0x0102,0x0001}は[0x000A]みなもを　じっと　見つめてる
msg_partner_576={0x0102,0x0001}は　きらきら　光る[0x000A]海を　見渡している！
msg_partner_577={0x0102,0x0001}は[0x000A]こっちを　じっと　見てる……{0xBE00}[0x000A]何かを　伝えたいのかな？
msg_partner_578={0x0102,0x0001}は[0x000A]地面を　ぺたぺた　触ってる
msg_partner_579={0x0102,0x0001}は[0x000A]レンガの　上が　楽しいみたい！
msg_partner_580={0x0102,0x0001}は　土の　匂いが[0x000A]お気に入り　みたい！
msg_partner_581={0x0102,0x0001}は[0x000A]オニチャンに　興味津々！
msg_partner_582=聞こえてくる　噴水の　音に[0x000A]興味を　しめしてる
msg_partner_583=ポケモンが　たくさんいて[0x000A]{0x0102,0x0001}も　嬉しそう！
msg_partner_584={0x0102,0x0001}は　にぎやかな[0x000A]部屋が　楽しい　みたい
msg_partner_585={0x0102,0x0001}は[0x000A]少し　緊張　している
msg_partner_586={0x0102,0x0001}は[0x000A]エレベータに　乗りたい　みたい！
