msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　あしに[0x000A]ぺったり　くっついてきた
msg_partner_335={0x0102,0x0001}は　かべの　ポスターを[0x000A]きょろきょろ　みている
msg_partner_336={0x0102,0x0001}は[0x000A]いごこちが　よさそうに　している
msg_partner_337={0x0102,0x0001}は[0x000A]しんちょうに　あるいている
msg_partner_338={0x0102,0x0001}は　うずうず　してる！[0x000A]はやく　そとに　いきたい　みたい
msg_partner_339=ふかい　きりに　おびえている……
msg_partner_340={0x0102,0x0001}は[0x000A]とおくの　なみを　みつめている
msg_partner_341={0x0102,0x0001}は　ゆかに　ついた[0x000A]あしあとを　きにしている！
msg_partner_342={0x0102,0x0001}は　おどろいた　ように[0x000A]いえの　なかを　みまわしている！
msg_partner_343={0x0102,0x0001}は　かんきゃくせきを[0x000A]ふしぎそうに　みまわしている
msg_partner_344=くんくん……[0x000A]{0x0102,0x0001}は　においを　かいでいる
msg_partner_345=なんだか[0x000A]ふしぎな　においが　するみたい？
msg_partner_346=モンスターボールの　マークが[0x000A]きになる　みたい
msg_partner_347={0x0102,0x0001}は[0x000A]ごくりと　いきを　のんだ！
msg_partner_348={0x0102,0x0001}は[0x000A]まわりの　たてものを　みまわしている
msg_partner_349={0x0102,0x0001}は[0x000A]さんばしの　うえを　あるくのが{0xBE00}[0x000A]たのしい　みたい！
msg_partner_350={0x0102,0x0001}は　たくさんの[0x000A]トレーナーがいて　たのしい　みたい
msg_partner_351={0x0102,0x0001}は[0x000A]ゆったりと　くつろいで　いる！
msg_partner_352={0x0102,0x0001}は[0x000A]なんだか　おちつく　みたい
msg_partner_353={0x0102,0x0001}は[0x000A]ワープそうちを　きにしている！
msg_partner_354={0x0102,0x0001}は[0x000A]たかいところが　たのしい　みたい！
msg_partner_355={0x0102,0x0001}は　からだが[0x000A]バチバチ　する　みたい
msg_partner_356={0x0102,0x0001}は[0x000A]とうしを　もやしている！
msg_partner_357={0x0102,0x0001}は　じっと[0x000A]みずを　みつめている……
msg_partner_358={0x0102,0x0001}は[0x000A]うみを　みて　おおはしゃぎ　だ！
msg_partner_359={0x0102,0x0001}は[0x000A]みずを　ぱしゃぱしゃ　している
msg_partner_360={0x0102,0x0001}は[0x000A]くさの　かおりが　おちつく　みたい
msg_partner_361=あたたかい　おひさまが[0x000A]とっても　うれしい　みたい！
msg_partner_362={0x0102,0x0001}は　きあいを　いれて[0x000A]バチバチッと　でんきを　はしらせた！
msg_partner_363={0x0102,0x0001}から[0x000A]ひんやりした　れいきを　かんじる
msg_partner_364=……なんだか　くうきが[0x000A]つめたく　なってきた
msg_partner_365={0x0102,0x0001}は　はげしく[0x000A]からだを　うごかして　いる！
msg_partner_366={0x0102,0x0001}から　ちょっと[0x000A]どくどくしい　においが　する
msg_partner_367={0x0102,0x0001}は[0x000A]ちょっぴり　ふあんそう……
msg_partner_368={0x0102,0x0001}は[0x000A]さらさらの　じめんが{0xBE00}[0x000A]うれしい　みたい！
msg_partner_369={0x0102,0x0001}は　ちょっぴり[0x000A]いやそうな　かおを　している……
msg_partner_370={0x0102,0x0001}は　イワヤマトンネルを[0x000A]みて　たのしそう　だ！
msg_partner_371={0x0102,0x0001}は[0x000A]よゆうの　ひょうじょう　だ！
msg_partner_372={0x0102,0x0001}は　ふしぎな[0x000A]ちからを　かんじとっている！
msg_partner_373={0x0102,0x0001}は　なんだか[0x000A]いごこちが　よさそうに　している
msg_partner_374={0x0102,0x0001}は[0x000A]ふと　うしろを　ふりむいた！{0xBE00}[0x000A]……なにか　いたのかな？
msg_partner_375={0x0102,0x0001}は[0x000A]にやにや　している
msg_partner_376={0x0102,0x0001}は[0x000A]れいきが　きになる　みたい……
msg_partner_377={0x0102,0x0001}は　うわめづかいで[0x000A]こっちを　みつめて　きた！
msg_partner_378={0x0102,0x0001}は　たのしそうに[0x000A]うしろを　ついてきている！
msg_partner_379={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]うしろを　あるけて　うれしい　みたい
msg_partner_380={0x0102,0x0001}は[0x000A]はなしかけられて　うれしい　みたい！
msg_partner_381={0x0102,0x0001}は[0x000A]はやく　さきに　すすみたくて{0xBE00}[0x000A]いてもたっても　いられない　みたい！
msg_partner_382={0x0100,0x0000}のことを[0x000A]おいこすのが　たのしい　ようだ！
msg_partner_383={0x0102,0x0001}は[0x000A]いてもたっても　いられない　みたい！
msg_partner_384={0x0102,0x0001}は　{0x0100,0x0000}に[0x000A]ついてきて　ほしい　みたい！
msg_partner_385={0x0102,0x0001}は[0x000A]すごく　かっぱつ　だ！
msg_partner_386={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]およげて　うれしい　みたい
msg_partner_387={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]{0x0102,0x0002}のことを　きにしながら{0xBE00}[0x000A]およいでいる！
msg_partner_388={0x0102,0x0001}は　みずの　うえが[0x000A]ここちよくて　しあわせそう！
msg_partner_389={0x0102,0x0001}は[0x000A]なみに　みを　まかせている……{0xBE00}[0x000A]ゆらゆらして　ここちいい！
msg_partner_390={0x0102,0x0001}は　とくいそうに[0x000A]{0x0100,0x0000}と　{0x0102,0x0002}を{0xBE00}[0x000A]はこんでいる！
msg_partner_391=おっと　あぶない！{0xBE01}[0x000A]{0x0102,0x0001}は[0x000A]バランスを　くずしそうに　なった！
msg_partner_392={0x0102,0x0001}は[0x000A]あしもとに　きをつけながら{0xBE00}[0x000A]{0x0100,0x0000}を　はこんでいる！
msg_partner_393={0x0102,0x0001}は　{0x0100,0x0000}を[0x000A]はこぶのが　とても　たのしい　みたい！
msg_partner_394={0x0102,0x0001}は　まだまだ[0x000A]{0x0100,0x0000}を　はこべる　みたい！
msg_partner_395={0x0102,0x0001}は　きもちよさそうに[0x000A]そらを　とんでいる！
msg_partner_396={0x0102,0x0002}が　そらの　たかさに[0x000A]びっくりしていて　うれしい　みたい！
msg_partner_397={0x0102,0x0001}は　したを　みまわしている
msg_partner_398={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]そらを　とぶことが　できて{0xBE00}[0x000A]うれしい　みたい！
msg_partner_399=つよい　かぜが　ふいて[0x000A]{0x0102,0x0001}は　おもわず　ぐらついた！
msg_partner_400=おや？　{0x0102,0x0001}は[0x000A]なにかを　もっている……
msg_partner_401={0x0102,0x0001}は[0x000A]はなの　かおりを　かいでいる！
msg_partner_402={0x0102,0x0001}は　きの　うえを[0x000A]じっと　みていた　ようだ
msg_partner_403={0x0102,0x0001}は　いけがきが[0x000A]きになった　みたい！
msg_partner_404={0x0102,0x0001}は[0x000A]この　いわが　おきにいり　みたい！
msg_partner_405={0x0102,0x0001}は[0x000A]いわが　つめたくて　おどろいた！
msg_partner_406={0x0102,0x0001}は　いわの　すきまから[0x000A]なにかを　とりだした！
msg_partner_407={0x0102,0x0001}は　すいめんを[0x000A]たのしそうに　ながめてる！
msg_partner_408={0x0102,0x0001}は[0x000A]さくの　むこうがわを　みつめている……
msg_partner_409={0x0102,0x0001}は　イワークに[0x000A]ちょっと　びっくり　してる！
msg_partner_410={0x0102,0x0001}は[0x000A]まどの　むこうを　ながめている
msg_partner_411={0x0102,0x0001}は[0x000A]うれしそうに　している！
msg_partner_412={0x0102,0x0001}は[0x000A]とおくを　みつめている
msg_partner_413={0x0102,0x0001}は[0x000A]おおきな　テレビを　きにしている！
msg_partner_414={0x0102,0x0001}は[0x000A]おかあさんを　きにしている！
msg_partner_415=じめんの　うごく　かげを　[0x000A]みつめている
msg_partner_416={0x0102,0x0001}は　なにかを[0x000A]さがして　いる　みたい
msg_partner_417={0x0102,0x0001}は[0x000A]げんきに　へんじを　した！
msg_partner_418={0x0102,0x0001}は[0x000A]ふしぎそうな　かおを　している
msg_partner_419={0x0102,0x0001}は　ポケモンの[0x000A]けはいに　ソワソワ　している！
msg_partner_420={0x0102,0x0001}は[0x000A]あたりを　みまわしている
msg_partner_421={0x0102,0x0001}は[0x000A]たのしそうに　ついて　きている！
msg_partner_422={0x0102,0x0001}は[0x000A]なんだか　ここちよさそう！
msg_partner_423={0x0102,0x0001}は　こくばんに[0x000A]かいてあることが　きになる　みたい
msg_partner_424={0x0102,0x0001}は[0x000A]なんだか　やるき　いっぱい！
msg_partner_425={0x0102,0x0001}は[0x000A]げんきに　あいさつした！
msg_partner_426={0x0102,0x0001}は[0x000A]ちょっぴり　はずかしそう
msg_partner_427={0x0102,0x0001}は[0x000A]すこし　ドキドキしている
msg_partner_428={0x0102,0x0001}は[0x000A]うとうと　している
msg_partner_429={0x0102,0x0001}は　じめんに　うつる[0x000A]くもの　かげを　みつめている
msg_partner_430={0x0102,0x0001}は[0x000A]なんだか　わくわく　してる！
msg_partner_431=はらはら　まう　はっぱを[0x000A]とても　たのしそうに　みている！
msg_partner_432=おや？　{0x0102,0x0001}は　なにかを[0x000A]ひろった　みたい！
msg_partner_433={0x0102,0x0001}は[0x000A]すこし　ホッ　としている
msg_partner_434=いしだたみの　うえを　あるくのが[0x000A]たのしい　みたい！
msg_partner_435={0x0102,0x0001}は[0x000A]ニドラン♂のことが　きになる　みたい
msg_partner_436={0x0102,0x0001}は[0x000A]なんだか　きんちょう　してる！
msg_partner_437={0x0102,0x0001}は[0x000A]ぼーっと　している……{0xBE00}[0x000A]こえを　かけて　みますか？
msg_partner_438=ちょっと　びっくり　したみたい！
msg_partner_439={0x0102,0x0001}は　ごつごつした[0x000A]じめんが　たのしい　みたい
msg_partner_440={0x0102,0x0001}は[0x000A]とつぜん　おどりだした！
msg_partner_441=あぶない！[0x000A]{0x0102,0x0001}は　ころびそうに　なった！
msg_partner_442={0x0102,0x0001}は[0x000A]ちょっぴり　しんぱいそう……
msg_partner_443=なんだか　ソワソワ　している！
msg_partner_444={0x0102,0x0001}は[0x000A]とびこみだいを　きにしている
msg_partner_445=おっと！{0xBE00}[0x000A]{0x0102,0x0001}は[0x000A]あしもとが　すべった　ようだ！
msg_partner_446=ちょっぴり　あんしん　した　みたい！
msg_partner_447=あ！[0x000A]{0x0102,0x0001}は{0xBE00}[0x000A]ころびそうに　なった……
msg_partner_448={0x0102,0x0001}は[0x000A]くらいところが　おちつく　みたい
msg_partner_449={0x0102,0x0001}は　ごまんえつ　だ！
msg_partner_450={0x0102,0x0001}は[0x000A]{0x0102,0x0002}のことを　みつめている！
msg_partner_451={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]ケサギリに　きょうみしんしん！
msg_partner_452={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]ちからづよさに　おどろいた！
msg_partner_453=まわりが　あかるく　みえて[0x000A]びっくり　してる！
msg_partner_454={0x0102,0x0001}は[0x000A]しんかに　びっくり　してる！
msg_partner_455={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]あたまを　じーっと　みつめている……
msg_partner_456={0x0102,0x0001}は[0x000A]あたりを　けいかい　している！
msg_partner_457={0x0102,0x0001}は　かだんに[0x000A]おちてた　なにかを　みつけた！
msg_partner_458={0x0102,0x0001}は　しげみの[0x000A]なかから　なにかを　みつけた！
msg_partner_459={0x0102,0x0001}は[0x000A]ベンチを　みつめている！{0xBE00}[0x000A]{0x0100,0x0000}と{0xBE00}[0x000A]くつろぎたいの　かな？
msg_partner_460=おや？[0x000A]{0x0102,0x0001}は　ベンチの　したに{0xBE00}[0x000A]なにかを　みつけた　みたい！
msg_partner_461=なにも　みつからなかった　みたい
msg_partner_462=わ！[0x000A]うえから　すいてきが　おちてきて{0xBE00}[0x000A]びっくりした　みたい！
msg_partner_463={0x0102,0x0001}は[0x000A]ふんすいを　みて　おおはしゃぎ！
msg_partner_464={0x0102,0x0001}は　マルマインの[0x000A]まんまる　ボディに　うっとり……
msg_partner_465=わ！　みずしぶきが　かかった！[0x000A]{0x0102,0x0001}は　うれしそう！
msg_partner_466={0x0102,0x0001}は[0x000A]ふんすいが　きになる　みたい……
msg_partner_467=わ！　{0x0102,0x0001}は[0x000A]さくの　むこうに　おちていた{0xBE00}[0x000A]なにかを　ひきよせた！
msg_partner_468={0x0102,0x0001}は　みずのなかに[0x000A]おちていた　なにかを　ひろいあげた！
msg_partner_469={0x0102,0x0001}は　うれしそうに[0x000A]じめんを　ほっている！
msg_partner_470={0x0102,0x0001}は[0x000A]しずかに　している
msg_partner_471={0x0102,0x0001}は[0x000A]ゲームに　きょうみしんしん！
msg_partner_472={0x0102,0x0001}は[0x000A]さてつを　つけて　あそんでいる！
msg_partner_473=おや？　{0x0102,0x0001}は[0x000A]すなの　なかから　なにかを{0xBE00}[0x000A]みつけた　みたい！
msg_partner_474=あ！　{0x0102,0x0001}は[0x000A]つまずいて　ころびそうに　なった！
msg_partner_475={0x0102,0x0001}は[0x000A]しんぴてきな　けしきに　みとれている
msg_partner_476={0x0102,0x0001}から[0x000A]あつい　しせんを　かんじる……
msg_partner_477={0x0102,0x0001}は[0x000A]ちょっぴり　げんきが　でた　みたい！
msg_partner_478={0x0102,0x0001}は[0x000A]しょんぼり　している……
msg_partner_479={0x0102,0x0001}から[0x000A]ねっきを　かんじる！
msg_partner_480={0x0102,0x0001}は[0x000A]とっても　いきいき　してる！
msg_partner_481={0x0102,0x0001}は[0x000A]にこにこ　している！{0xBE00}[0x000A]なんだか　おちつく　みたい
msg_partner_482={0x0102,0x0001}は　{0x0102,0x0002}のことが[0x000A]きになる　みたい！
msg_partner_483={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]かたを　じっと　みている……
msg_partner_484={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]あたまを　じっと　みている……
msg_partner_485={0x0102,0x0001}は[0x000A]じっと　そらを　みつめている
msg_partner_486={0x0102,0x0001}は[0x000A]トキワのもりが　おきにいり　みたい！
msg_partner_487={0x0102,0x0001}は[0x000A]ゆうがに　はばたいている……{0xBE00}[0x000A]かぜが　かかって　きもちいい！
msg_partner_488={0x0102,0x0001}は[0x000A]ぬいぐるみに　きょうみしんしん！
msg_partner_489={0x0102,0x0001}は[0x000A]うれしそうに　にこにこ　してる！
msg_partner_490={0x0102,0x0001}は　たのしそうに[0x000A]はねを　ぱたぱた　させている
msg_partner_491={0x0102,0x0001}の[0x000A]からだが　とても　あつい！{0xBE00}[0x000A]どうやら　こうふん　してるみたい
msg_partner_492={0x0102,0x0001}は[0x000A]こっちを　じっと　みている……{0xBE00}[0x000A]もしかして　こころを　よまれてる？
msg_partner_493={0x0102,0x0001}は　きもちよさそうに[0x000A]ふよふよ　ういてる！
msg_partner_494={0x0102,0x0001}は[0x000A]ぼんやり　している
msg_partner_495={0x0102,0x0001}は[0x000A]うれしそうに　クキを　なげた！
msg_partner_496={0x0102,0x0001}は[0x000A]カマを　きらりと　ひからせた！
msg_partner_497={0x0102,0x0001}は[0x000A]ゆっくり　こきゅう　している……{0xBE00}[0x000A]あたたかい　おなかが　きもちいい！
msg_partner_498={0x0102,0x0001}から[0x000A]いてつく　くうきが　つたわってくる
msg_partner_499=わ！　{0x0102,0x0001}の　まわりが[0x000A]バチバチっと　した！
msg_partner_500={0x0102,0x0001}から[0x000A]とてつもない　ねっきが　つたわる！
msg_partner_501={0x0102,0x0001}は[0x000A]ジジッと　うなっている……{0xBE00}[0x000A]ゲームに　はんのう　してる？
msg_partner_502={0x0102,0x0001}は　さいしんの[0x000A]ゲームきに　きょうみしんしん！
msg_partner_503={0x0102,0x0001}は　ぜっこうちょう！[0x000A]ヒゲが　つやつや　している
msg_partner_504={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]しっぽを　みつめている
msg_partner_505={0x0102,0x0001}は　{0x0102,0x0002}と[0x000A]めと　めを　あわせて　うなずいた
msg_partner_506={0x0102,0x0001}は　{0x0102,0x0002}に[0x000A]むかって　ないた！{0xBE00}[0x000A]なにか　はなして　いるのかな？
msg_partner_507={0x0102,0x0001}は　いわかべを[0x000A]くだいて　なにかを　とりだした！
msg_partner_508={0x0102,0x0001}は[0x000A]いわかべを　じっと　みつめてる
msg_partner_509={0x0102,0x0001}は　すなの　なかから[0x000A]なにかを　ほりだした！
msg_partner_510={0x0102,0x0001}は　あしもとの[0x000A]すなを　ふみふみ　してる
msg_partner_511={0x0102,0x0001}は　ヤドンの　しっぽを[0x000A]じっと　みつめている……
msg_partner_512={0x0102,0x0001}は[0x000A]においを　かいでいる！
msg_partner_513={0x0102,0x0001}は　パントマイムの[0x000A]れんしゅうを　してる！
msg_partner_514={0x0102,0x0001}は[0x000A]ゆれる　ほのおを　みつめている
msg_partner_515=ディグダの　グッズを[0x000A]みて　にやにやしてる
msg_partner_516={0x0102,0x0001}は　ポスターを[0x000A]みて　うれしそうに　してる！
msg_partner_517={0x0102,0x0001}は[0x000A]ひなたぼっこ　してる……{0xBE00}[0x000A]なんだか　きもちよさそう
msg_partner_518={0x0102,0x0001}は[0x000A]つきのいしに　ひかれたみたい
msg_partner_519={0x0102,0x0001}は[0x000A]なんだか　ふしぎそうに　してる
msg_partner_520={0x0102,0x0001}は[0x000A]おしゃべり　してたみたい
msg_partner_521=おや？　{0x0102,0x0001}は[0x000A]なにかを　もっている……
msg_partner_522={0x0102,0x0001}は　おおきな[0x000A]きかいを　しずかに　みている
msg_partner_523={0x0102,0x0001}は　おおきな[0x000A]きかいを　まっすぐ　みつめている
msg_partner_524={0x0102,0x0001}は[0x000A]ゴミばこの　においを　かいでいる！{0xBE00}[0x000A]……　なんだか　うれしそう
msg_partner_525={0x0102,0x0001}は　ゆれる　はなを[0x000A]たのしそうに　ながめてる！
msg_partner_526={0x0102,0x0001}は[0x000A]きんぞくの　あじみを　している……
msg_partner_527=クセに　なる　あじ　みたい！
msg_partner_528={0x0102,0x0001}は[0x000A]かおを　しかめた！
msg_partner_529={0x0102,0x0001}は[0x000A]ふくざつそうな　かおを　している
msg_partner_530={0x0102,0x0001}は[0x000A]とびはねて　よろこんでる！
msg_partner_531=……ちょっと　ピリピリ　したみたい
msg_partner_532={0x0102,0x0001}は[0x000A]バチバチ　でんきに　だいこうふん！
msg_partner_533={0x0102,0x0001}は　パントマイムの[0x000A]れんしゅうを　してる！{0xBE00}[0x000A]……なんだか　すごく　はりきってる
msg_partner_534={0x0102,0x0001}は[0x000A]ほのおの　ねっきが　うれしい　みたい
msg_partner_535={0x0102,0x0001}は　つくえの　うえを[0x000A]あつい　まなざしで　みつめている
msg_partner_536={0x0102,0x0001}は　なんだか[0x000A]とくいげな　ひょうじょうを　してる！
msg_partner_537=くんくん……[0x000A]{0x0102,0x0001}は　ソワソワ　している
msg_partner_538={0x0102,0x0001}は[0x000A]つきのいしを　まじまじと　みてる
msg_partner_539={0x0102,0x0001}は[0x000A]かせきを　じっと　みつめている
msg_partner_540={0x0102,0x0001}は[0x000A]とつぜん　わらいだした！
msg_partner_541={0x0102,0x0001}は[0x000A]ゴミばこの　においを　かいでいる！{0xBE00}[0x000A]……　なんだか　ニヤニヤしてる
msg_partner_542={0x0102,0x0001}は[0x000A]たのしそうに　バチバチを　みている
msg_partner_543={0x0102,0x0001}は[0x000A]ベンチの　においを　かいでいる
msg_partner_544={0x0102,0x0001}は　いわが[0x000A]ヒンヤリして　うれしい　みたい！
msg_partner_545=おや？　{0x0102,0x0001}は[0x000A]つめたい　いわの　そばに{0xBE00}[0x000A]なにかを　みつけた　みたい！
msg_partner_546={0x0102,0x0001}は[0x000A]ひざしが　あたたかくて　しあわせそう
msg_partner_547={0x0102,0x0001}は　きらきら　ひかる[0x000A]じめんを　みつめている
msg_partner_548=おや？　{0x0102,0x0001}は[0x000A]じめんから　なにかを　ほりだした
msg_partner_549=おや？　{0x0102,0x0001}は[0x000A]きの　うえに　なにか　あるのを{0xBE00}[0x000A]みつけた　みたい！
msg_partner_550={0x0102,0x0001}は[0x000A]ボーっと　してる
msg_partner_551={0x0102,0x0001}は[0x000A]こちらの　ようすを　うかがっている
msg_partner_552={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]あそべて　うれしそう！
msg_partner_553={0x0102,0x0001}は[0x000A]めを　キリッと　させた！
msg_partner_554={0x0102,0x0001}は[0x000A]しゃんと　せすじを　のばした！
msg_partner_555={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]おくちを　みてる！
msg_partner_556={0x0102,0x0001}と　{0x0102,0x0002}は[0x000A]かおを　みあわせて　ニヤッとした！
msg_partner_557={0x0102,0x0001}は　{0x0102,0x0002}に[0x000A]むかって　よびかけた！
msg_partner_558={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]ゆれる　しっぽに　さわりたい　みたい
msg_partner_559={0x0102,0x0001}は　すずしげな　かおで　[0x000A]{0x0100,0x0000}を　はこんでいる！
msg_partner_560={0x0102,0x0001}は[0x000A]かぜを　かんじて　きもちよさそう
msg_partner_561=わ！　みずが　はねた！[0x000A]{0x0102,0x0001}は　うれしそう！
msg_partner_562={0x0102,0x0001}は　げんきそう！[0x000A]けなみが　とても　きもちいい
msg_partner_563={0x0102,0x0001}は[0x000A]とっても　ふかふか　してる！
msg_partner_564={0x0102,0x0001}は　{0x0100,0x0000}を[0x000A]ふわふわ　はこんでいる……
msg_partner_565={0x0102,0x0001}の[0x000A]せなかが　あたたかい……
msg_partner_566={0x0102,0x0001}は[0x000A]ちからづよく　はばたいている！
msg_partner_567={0x0102,0x0001}は　たいせつそうに[0x000A]{0x0102,0x0002}を　かかえている
msg_partner_568={0x0102,0x0001}の[0x000A]きんにくが　うごいている……
msg_partner_569={0x0102,0x0001}の[0x000A]たてがみが　いつもより　あつい！
msg_partner_570=わ！　３つの　あたまが[0x000A]かいわしてる……？
msg_partner_571={0x0102,0x0001}の　てが[0x000A]ゆるやかに　うごいている
msg_partner_572={0x0102,0x0001}は　キリッと　してる！[0x000A]なんだか　たくましい
msg_partner_573={0x0102,0x0001}は[0x000A]ぜつみょうな　バランスを　とってる！
msg_partner_574={0x0102,0x0001}の[0x000A]こどうが　つたわってくる！
msg_partner_575={0x0102,0x0001}は[0x000A]みなもを　じっと　みつめてる
msg_partner_576={0x0102,0x0001}は　きらきら　ひかる[0x000A]うみを　みわたしている！
msg_partner_577={0x0102,0x0001}は[0x000A]こっちを　じっと　みてる……{0xBE00}[0x000A]なにかを　つたえたいのかな？
msg_partner_578={0x0102,0x0001}は[0x000A]じめんを　ぺたぺた　さわってる
msg_partner_579={0x0102,0x0001}は[0x000A]レンガの　うえが　たのしいみたい！
msg_partner_580={0x0102,0x0001}は　つちの　においが[0x000A]おきにいり　みたい！
msg_partner_581={0x0102,0x0001}は[0x000A]オニチャンに　きょうみしんしん！
msg_partner_582=きこえてくる　ふんすいの　おとに[0x000A]きょうみを　しめしてる
msg_partner_583=ポケモンが　たくさんいて[0x000A]{0x0102,0x0001}も　うれしそう！
msg_partner_584={0x0102,0x0001}は　にぎやかな[0x000A]へやが　たのしい　みたい
msg_partner_585={0x0102,0x0001}は[0x000A]すこし　きんちょう　している
msg_partner_586={0x0102,0x0001}は[0x000A]エレベータに　のりたい　みたい！
